江苏德胜电气股份有限公司,德胜电气,2017.6.16,新三板,未透露,硬件其他硬件服务,不明确,江苏扬州,王春松董事长,
上海行邑信息科技有限公司,Maxent猛犸反欺诈,2017.6.16,A+轮,5000万人民币,金融金融信息化,50-100人,上海徐汇区,张克CEO周辉CTO,
天津庆泉宠物用品股份有限公司,庆泉宠物,2017.6.16,新三板,未透露,电子商务其他电商服务,不明确,天津宝坻区,张庆海董事长,
成都陌云科技有限公司,洋姑妈,2017.6.16,A+轮,数千万人民币,电子商务跨境电商,100-150人,四川成都,吴文杰CEO,
南昌悠旗进出口贸易有限公司,悠旗时尚,2017.6.17,天使轮,800万人民币,电子商务跨境电商,30-50人,江西南昌,宋立CEO,
宁波中科福瑞智能科技有限公司,橙伞,2017.6.18,天使轮,500万人民币,本地生活其他生活服务,15-30人,浙江宁波,,
上海必加教育科技有限公司,幼师口袋,2017.6.18,A轮,数千万人民币,教育儿童早教,30-50人,上海宝山区,李砚君CEO,
北京四十二章经科技有限公司,42章经,2017.6.19,Pre-A轮,640万人民币,文化娱乐媒体及阅读,15-30人,北京朝阳区,曲凯创始人,
郑州点读电子科技有限公司,咿啦看书,2017.6.19,A轮,5000万人民币,教育K12,50-100人,河南郑州,,
厦门易功成信息技术有限公司,易工程,2017.6.19,Pre-A轮,1000万人民币,电子商务其他电商服务,50-100人,福建厦门,陈京鹭CEO,
福州易鲜冷链物流有限公司,易鲜冷链,2017.6.19,天使轮,数千万人民币,物流仓储服务,不明确,福建福州,王来原总经理,
北京中视星驰文化传媒有限公司,星驰传媒,2017.6.19,B轮,数千万美元,文化娱乐影视,30-50人,北京朝阳区,朱化凯联合创始人,http://abe.my628.com/
上海诚数信息科技有限公司,聚信立,2017.6.19,B轮,1亿人民币,金融信用及征信,50-100人,上海杨浦区,罗皓CEO楚星晨CTO,
拟世营销咨询（深圳）有限责任公司,Next Smart,2017.6.19,天使轮,数百万人民币,企业服务销售营销,不明确,广东深圳,禹甜CEO兼总经理,
广州世讯信息科技有限公司,Nonolive,2017.6.19,A轮,数千万美元,文化娱乐视频,30-50人,广东广州,苏振雄CEO兼总经理,
北京无限自在文化传媒股份有限公司,自在传媒,2017.6.19,IPO上市后,5000万人民币,文化娱乐影视,不明确,北京朝阳区,朱玮杰   创始人,
上海六匹马网络科技有限公司,百货栈,2017.6.19,Pre-A轮,数千万人民币,电子商务综合电商,30-50人,上海浦东新区,陈启令创始人,
厦门市礼小签电子科技有限公司,小签科技,2017.6.19,Pre-A轮,数千万人民币,工具软件实用生活服务,30-50人,福建厦门,苏砚CEO邓超CTO,
上海驿氪信息科技有限公司,驿氪科技,2017.6.19,A轮,400万美元,企业服务销售营销,不明确,上海长宁区,闵捷创始人,
北京飞搜科技有限公司,飞搜科技,2017.6.19,Pre-A轮,1000万人民币,企业服务黑科技及前沿技术,30-50人,北京海淀区,白洪亮CEO,http://www.faceall.cn/
扬州市嘉茂达物资有限公司,全球影子转运,2017.6.20,天使轮,300万人民币,物流综合物流,不明确,江苏扬州,杨波CEO兼总经理,
成都乐乐云科技有限责任公司,乐乐医,2017.6.20,Pre-A轮,2500万人民币,医疗健康寻医诊疗,30-50人,四川成都,吴刚董事长,
北京全息互信数据科技有限公司,全息互信PDX,2017.6.20,A轮,3000万人民币,企业服务黑科技及前沿技术,30-50人,北京海淀区,张建钢CEO,http://www.pdx.life
北京墨丘科技有限公司,墨丘科技,2017.6.20,天使轮,数千万人民币,企业服务法律服务,不明确,北京海淀区,孙鹏飞总经理,
北京翰邦中科技术研究合伙企业（有限合伙）,大力税手,2017.6.20,天使轮,800万人民币,企业服务财务税务,15-30人,北京朝阳区,,
北京倍格创业生态科技有限公司,倍格创业,2017.6.20,A轮,1800万美元,房产服务商业房产,30-50人,北京朝阳区,周贺CEO,http://www.e-bigger.com/
天津九衢大数据科技有限公司,九衢数据,2017.6.20,天使轮,225万人民币,汽车交通交通出行,不明确,天津滨海新区,伍鹏程CEO兼总经理,
四川远海国际旅行社有限公司,远海国际,2017.6.20,A轮,数千万人民币,旅游跨境游,不明确,四川成都,王威董事长,
湖南星投信息服务有限公司,星火钱包,2017.6.20,A轮,数千万人民币,金融借贷,30-50人,湖南长沙,杨立联合创始人&CEO阳雪联合创始人&副总裁黄震宇联合创始人&首席技术官岳葳联合创始人&首席风控官阮宏勋联合创始人&首席投资官倪雪青风控副总监丁燕星火研究院副院长,
北京袋鼠部落影业有限公司,袋鼠影业,2017.6.20,天使轮,4500万人民币,文化娱乐影视,不明确,北京朝阳区,徐敏CEO兼总经理,
维宁文化传媒（北京）有限公司,维宁体育,2017.6.20,A轮,未透露,体育运动综合体育,50-100人,北京海淀区,纪宁CEO骆维维CFO,
首约科技（天津）有限公司,首汽约车,2017.6.20,B轮,未透露,汽车交通交通出行,300-500人,北京朝阳区,,
广州市集群车宝汽车服务连锁有限公司,集群车宝,2017.6.20,A+轮,5000万人民币,汽车交通汽车后服务,100-150人,广东广州,高集群CEO,
邦铭农信科技(北京)有限公司,快乐de蛋(快乐的蛋),2017.6.20,天使轮,300万人民币,农业农业电商,5人以下,北京东城区,王炜晟CEO梁岚联合创始人,
杭州加速云信息技术有限公司,加速云,2017.6.20,Pre-A轮,数千万人民币,企业服务数据服务,15-30人,浙江杭州,邬刚CEO,
广州市羿辰动漫文化有限公司,羿辰动漫,2017.6.20,天使轮,数百万人民币,文化娱乐动漫,10-15人,广东广州,,
北京北森云计算股份有限公司,北森,2017.6.1,IPO上市后,2亿人民币,企业服务人力资源,500-1000人,北京海淀区,王朝晖董事长纪伟国CEO,
天津清智科技有限公司,清智科技,2017.5.31,天使轮,数千万人民币,汽车交通车联网及硬件,15-30人,天津东丽区,郭磊总经理,
北京信链科技有限公司,信链,2017.5.27,天使轮,数百万人民币,企业服务其他企业服务,不明确,北京朝阳区,李素颙CEO兼总经理,
众舍空间（北京）投资咨询顾问有限公司,众舍空间,2017.5.27,天使轮,数百万人民币,房产服务商业房产,不明确,北京朝阳区,,
武汉兰丁医学高科技有限公司,武汉兰丁医学,2017.5.27,B轮,数千万人民币,医疗健康专科服务,150-300人,湖北武汉,孙小蓉CEO,
北京凯声文化传媒有限责任公司,凯叔讲故事,2017.5.27,B轮,9000万人民币,文化娱乐其他文娱服务,50-100人,北京东城区,王凯CEO,
深圳市街借伞科技有限公司,街借伞-JJ伞,2017.5.28,天使轮,数百万人民币,本地生活其他生活服务,10-15人,广东深圳,张世民CEO,
新濠环彩有限公司,新濠环彩,2017.5.30,战略投资,3.22亿港元,体育运动其他体育服务,50-100人,香港中西区,徐志贤董事长,
北京贞观雨科技有限公司,猿题库(猿辅导),2017.5.31,E轮,1.2亿美元,教育K12,300-500人,北京朝阳区,李甬CEO郭常圳产品技术总监帅科市场运营总监李鑫副总裁,
东莞团贷网互联网科技服务有限公司,团贷网(光影侠),2017.5.31,D轮,18亿人民币,金融借贷,300-500人,广东东莞,唐军CEO,
北京利魔方科技有限公司,利魔方,2017.5.31,Pre-A轮,未透露,金融理财,不明确,北京东城区,郭英来CEO兼总经理,
北京我买房网络科技有限公司,蓝海购(我买房),2017.5.31,B轮,亿元及以上人民币,房产服务房产电商,100-150人,北京海淀区,谢照创始人,http://www.lanhaigo.com
上海劳勤信息技术有限公司,上海劳勤COHO,2017.6.1,天使轮,450万人民币,企业服务人力资源,30-50人,上海浦东新区,汪友宝CEO,
北京天汉文化发展有限公司,天汉文化,2017.6.1,A轮,3000万人民币,文化娱乐演艺,30-50人,北京朝阳区,吕翀CEO,
深圳市越疆科技有限公司,越疆科技Dobot,2017.6.1,A轮,7000万人民币,硬件机器人,50-100人,广东深圳,刘培超CEO,
葫芦岛市连山区金泽网络科技有限公司,金泽科技,2017.6.1,A轮,800万人民币,游戏游戏直播及玩家,30-50人,辽宁葫芦岛,刘士诚CEO,
