 货运司机,双证危险品驾驶员包食宿 ,  招3人 ,上海宝山大场,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,上海驹马招家居配送司机 ,  招3人 ,上海青浦徐泾,上海驹马物流有限公司,交通/运输/物流+汽车/摩托车,500-999人
 货运司机,双证危险品驾驶员包食宿 ,  招3人 ,上海宝山大场,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,新能源专用型城市货运司机 ,  招20人 ,上海宝山杨行,上海祁淳企业管理有限公司（铂鹿城配）,交通/运输/物流,100-499人
 货运司机,直招c1司机月入2w ,  招5人 ,上海松江泗泾,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,双证危险品驾驶员包食宿 ,  招3人 ,上海宝山大场,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,直招C1司机创业合作人 ,  招5人 ,上海松江泗泾,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,诚聘新能源货运司机 ,  招20人 ,上海宝山杨行,上海祁淳企业管理有限公司（铂鹿城配）,交通/运输/物流,100-499人
 货运司机,公司直招招货运车驾驶员 ,  招30人 ,上海宝山水产路,上海荣嘉汽车租赁有限公司,租赁服务,1000人以上
 货运司机,新能源专用型城市货运司机 ,  招20人 ,上海宝山杨行,上海祁淳企业管理有限公司（铂鹿城配）,交通/运输/物流,100-499人
 货运司机,直招C1货运司机月入两万 ,  招3人 ,上海松江泗泾,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,C1以上货运司机 ,  招20人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,急招普货驾驶员 ,  招3人 ,上海浦东周浦,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,驹马招饮料配送承包司机 ,  招3人 ,上海青浦徐泾,上海驹马物流有限公司,交通/运输/物流+汽车/摩托车,500-999人
 货运司机,C1司机待遇好机会多 ,  招10人 ,上海松江泗泾,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,驹马招点对点配送合作司机 ,  招5人 ,上海青浦徐泾,上海驹马物流有限公司,交通/运输/物流+汽车/摩托车,500-999人
 货运司机,C1本货运司机直招 ,  招5人 ,上海松江泗泾,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,新邦货运司机 ,  招5人 ,上海青浦重固,上海新邦物流有限公司,交通/运输/物流,1000人以上
 货运司机,大通货车带货源外包司机 ,  招30人 ,上海宝山水产路,上海荣嘉汽车租赁有限公司,租赁服务,1000人以上
 货运司机,诚招合作驾驶员 ,  招20人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,双证危险品驾驶员包食宿 ,  招3人 ,上海宝山大场,上海俊逢电子商务有限公司（俊逢电子商务）,娱乐休闲/餐饮/服务+交通/运输/物流+互联网/电子商务,1-49人
 货运司机,货运车辆司机低首付高回报 ,  招10人 ,上海浦东,上海荣嘉汽车租赁有限公司,租赁服务,500-999人
 货运司机,陆家嘴德邦招快递员 ,  招5人 ,上海浦东陆家嘴,上海精准德邦物流有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,诚招C1货运车好司机 ,  招50人 ,上海闵行莘庄,上海荣嘉汽车租赁有限公司,租赁服务,50-99人
 货运司机,驹马招合作司机月入过万 ,  招4人 ,上海青浦徐泾,上海驹马物流有限公司,交通/运输/物流+汽车/摩托车,500-999人
 货运司机,新能源专用型城市货运司机 ,  招20人 ,上海宝山杨行,上海祁淳企业管理有限公司（铂鹿城配）,交通/运输/物流,100-499人
 货运司机,招快递司机长白班C照 ,  招3人 ,上海嘉定曹王,苏州国业达货运代理有限公司,交通/运输/物流,100-499人
 货运司机,司机5千至8千包住 ,  招1人 ,上海浦东浦东周边,上海新邦物流有限公司,交通/运输/物流,1000人以上
 货运司机,招箱货驾驶员 ,  招30人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,5000元包吃住司机 ,  招10人 ,上海闵行春申,上海庆正速递有限公司,交通/运输/物流,100-499人
 货运司机,C1司机月入2W ,  招10人 ,上海松江泗泾,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,诚招C1司机提供货源 ,  招20人 ,上海宝山,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,高薪诚聘驾驶员 ,  招2人 ,上海,上海瑞徐汽车配件有限公司,汽车/摩托车+贸易/进出口+电子技术/半导体/集成电路,1000人以上
 货运司机,司机 ,  招2人 ,上海青浦华新镇,上海闼闼建材有限公司,陶瓷卫浴+建筑/建材+家居/室内设计/装潢,100-499人
 货运司机,货运司机（嘉定南翔） ,  招5人 ,上海嘉定南翔,顺丰速运有限公司,交通/运输/物流,1000人以上
 货运司机,招快递司机长白班C照 ,  招3人 ,上海嘉定金鹤新城,苏州国业达货运代理有限公司,交通/运输/物流,100-499人
 货运司机,纯电动货车低租金+高收入 ,  招20人 ,上海南汇,上海倚阳汽车租赁有限公司,交通/运输/物流+汽车/摩托车+租赁服务,1-49人
 货运司机,司机 ,  招10人 ,上海青浦徐泾,上海蓝森宴会餐饮有限公司,娱乐休闲/餐饮/服务+旅游/酒店,100-499人
 货运司机,诚聘司机7000包食宿 ,  招2人 ,上海普陀,上海布默机电设备有限公司,钢铁/机械/设备/重工,1-49人
 货运司机,直招C1货运司机送货源 ,  招10人 ,上海浦东周浦,上海驹马物流有限公司,交通/运输/物流,1000人以上
 货运司机,小货车司机江铃4.2米 ,  招2人 ,上海闵行,上海斗猫餐饮有限公司,娱乐休闲/餐饮/服务,100-499人
 货运司机,包吃住A2驾驶员5名 ,  招5人 ,上海松江塔汇,上海普贝物流有限公司,交通/运输/物流,100-499人
 货运司机,急挂车驾驶员8k至13k ,  招5人 ,上海松江塔汇,上海普贝物流有限公司,交通/运输/物流,100-499人
 货运司机,新能源货运司机C1以上 ,  招10人 ,上海松江,上海赤译汽车租赁有限公司,租赁服务,50-99人
 货运司机,急招快递驾驶员 ,  招1人 ,上海青浦徐泾,上海合久成越国际货运代理有限公司,交通/运输/物流,50-99人
 货运司机,司机 ,  招1人 ,上海松江新桥,上海汇泉水暖洁具有限公司,批发/零售,50-99人
 货运司机,百世快递急聘货运司机 ,  招3人 ,上海普陀,上海颂颂国际物流有限公司,交通/运输/物流,100-499人
 货运司机,6月祝桥诚聘货运司机 ,  招3人 ,上海浦东,上海学诺货运代理有限公司,交通/运输/物流,100-499人
 货运司机,自带金杯面包车司机 ,  招5人 ,上海宝山,上海米居网络科技有限公司,互联网/电子商务+家居/室内设计/装潢,100-499人
 货运司机,诚招短途货运司机 ,  招20人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,租赁服务,100-499人
 货运司机,快递公司司机 ,  招5人 ,上海宝山,上海本通快递有限公司,交通/运输/物流,50-99人
 货运司机,急招B2照货运司机 ,  招2人 ,上海静安,上海米居网络科技有限公司,互联网/电子商务+家居/室内设计/装潢,100-499人
 货运司机,5到7千直招货运司机 ,  招30人 ,上海,上海标杆仓储物流管理有限公司,交通/运输/物流,100-499人
 货运司机,新能源依维柯货车司机 ,  招50人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,能源(电力/水利/矿产),1000人以上
 货运司机,合作货运司机收入过万 ,  招30人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,能源(电力/水利/矿产),1000人以上
 货运司机,货运驾驶员包吃住 ,  招10人 ,上海普陀桃浦,上海佳彤快递服务有限公司,交通/运输/物流,50-99人
 货运司机,中春路德邦5到8千快递员 ,  招3人 ,上海闵行莘庄,德邦（上海）运输有限公司（德邦物流）,交通/运输/物流,1000人以上
 货运司机,C1货运司机 ,  招50人 ,上海宝山杨行,上海祁淳企业管理有限公司（铂鹿城配）,交通/运输/物流,100-499人
 货运司机,运作司机（静安+杨浦） ,  招10人 ,上海静安,顺丰速运有限公司,交通/运输/物流,1000人以上
 货运司机,高薪上海市区货运司机 ,  招2人 ,上海普陀,上海利丰物流有限公司,交通/运输/物流,1000人以上
 货运司机,诚招货运司机收入过万 ,  招20人 ,上海宝山杨行,上海豪滴汽车租赁服务有限公司,能源(电力/水利/矿产),1000人以上
